"import","cohort","count","export_cntry","import_cntry","time","sim_index","export","ex_im","gen_index","seq_index","freq"
"China","152_1_2_13",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","422_1_2_3",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","582_2_2_4",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","481_2_2_3",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","486_1_2_13",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","319_1_2_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","570_1_2_4",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","422_1_2_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","496_2_2_7",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","428_1_2_9",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","83_1_2_7",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","424_1_2_3",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","486_1_2_10",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","401_3_2_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","569_1_2_9",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","427_1_2_11",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","18_1_2_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","68_2_2_3",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","421_1_2_7",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","152_1_2_11",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","513_1_2_5",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","76_2_2_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","420_2_2_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","249_1_2_5",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","183_1_2_4",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","130_1_2_6",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","458_2_2_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","428_1_2_15",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","554_1_2_4",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","130_1_2_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","496_2_3_6",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","443_1_2_10",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","183_1_2_13",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","250_1_2_15",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","569_1_3_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","570_1_2_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","424_1_2_9",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","105_2_2_7",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","68_2_2_4",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","427_1_4_3",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","428_1_5_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","427_1_4_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","569_1_3_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","443_1_4_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","424_1_4_6",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","428_1_4_6",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","428_1_5_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","513_1_2_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","424_1_5_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","427_1_4_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","83_1_4_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","428_1_4_5",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","569_1_5_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","249_1_3_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","424_1_3_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","428_1_4_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","424_1_3_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","569_1_4_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","569_1_4_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","250_1_2_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","428_1_4_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","83_1_4_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","443_1_3_3",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","424_1_5_3",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","424_1_4_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","569_1_5_3",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","18_1_3_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","83_1_3_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","422_1_3_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","318_3_2_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","424_1_4_5",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","424_1_4_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","183_1_4_4",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","424_1_5_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","569_1_5_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","183_1_4_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","152_1_3_3",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","83_1_3_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","419_1_2_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","421_1_2_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","18_1_3_3",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","183_1_4_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","183_1_4_3",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","496_2_4_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","424_1_4_4",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","424_1_4_3",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","496_2_4_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0300707547169811
"China","428_1_3_8",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","183_1_3_7",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","421_1_3_7",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","486_1_2_15",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","319_1_2_3",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","569_1_2_7",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","584_2_3_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","422_1_3_12",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","421_1_3_6",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","584_2_3_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","162_2_2_8",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","495_1_2_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","582_2_3_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","183_1_3_8",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","582_2_3_5",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","249_1_3_7",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","584_2_3_4",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","513_1_3_7",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","584_2_3_3",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","582_2_3_6",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","127_2_2_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","149_1_2_5",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","421_1_3_8",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","443_1_3_13",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","582_2_3_3",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","584_2_3_5",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","428_1_3_7",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","18_1_2_7",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","513_1_3_8",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.049772283669486
"China","570_1_3_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","496_2_3_4",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","249_1_3_6",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","134_1_2_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","83_1_3_3",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","152_1_3_6",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","486_1_2_9",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","183_1_3_4",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","249_1_5_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","513_1_3_9",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","249_1_3_5",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","427_1_3_3",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","250_1_2_10",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","249_1_5_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","424_1_3_6",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","422_1_3_13",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","428_1_3_4",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","421_1_3_3",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","18_1_2_13",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","183_1_3_3",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","162_2_2_4",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","249_1_4_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","249_1_4_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0627563576702215
"China","417_1_2_4",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.081214109926169
"China","568_2_2_4",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.081214109926169
"China","236_2_2_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.081214109926169
"China","250_1_2_11",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.081214109926169
"China","481_2_2_7",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.081214109926169
"China","513_1_3_4",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.081214109926169
